,Player,Player Name,Team,Age,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,ORB_PCT,DREB,DRB_PCT,AST,AST_PCT,STL,STL_PCT,BLK,BLK_PCT,TOV,TOV_PCT,PF,PTS
0,Bogdan Bogdanovic,Bogdan Bogdanovic,ATL,31,79,33,30.39240506329114,9.406669964770757,21.968868282904104,0.42818181818181816,4.793207625360895,12.801858699401391,0.374414976599064,3.015726464289563,3.2753585439966115,0.9207317073170732,1.0585000172671977,0.022967030433930516,4.373801958141818,0.1022324156455245,4.9330095144339206,0.2006238019428831,1.917283050144358,0.03051919831662818,0.519264159,0.01537896249138672,2.2368302251684176,0.08721654622476947,3.574934020581668,26.62227401919197
1,Dejounte Murray,D. Murray,ATL,27,78,78,35.67948717948718,11.578791312891209,25.20799358744022,0.45933014354067014,3.463299187337995,9.545610695448998,0.3628158844765344,3.5839115968472774,4.514350184490321,0.7938931297709922,1.0682813413679386,0.023179262804871658,6.099541852326618,0.14256953192257643,8.649632796,0.29232274293431176,1.9125682079329216,0.02593285226244651,0.4135282611746859,0.01043254701686284,3.463299187337995,0.11296704284879282,2.377787501754444,30.20479340996768
2,Saddiq Bey,S. Bey,ATL,25,63,51,32.73015873015873,6.743983465612953,16.208815432869752,0.41606886657101866,2.627828040049186,8.325331312722197,0.31564245810055874,3.953369618,4.720788425929067,0.8374384236933821,3.883604271577114,0.0842653340043722,5.674248157274346,0.132628797929564,2.1394706166772126,0.13663636903701065,1.186010885331933,0.01753042805507436,0.2558062693853188,0.007035044220220995,1.2557762315279288,0.06426123381568925,2.0464501550825505,20.069164589048203
3,Jalen Johnson,J. Johnson,ATL,22,56,52,33.732142857142854,9.113173750548023,17.82018933951174,0.5113960113960112,1.8023268420303888,5.0769770198039135,0.3549999999999999,2.716182705595094,3.731578109555876,0.7278911564625851,1.878481497327448,0.04075875391110572,10.50934243,0.2456433724588108,5.153131675100972,0.2557705876423747,1.700787301634311,0.024392596453645873,1.1930895996539197,0.03183705502287847,2.563873395000976,0.1164023603171676,3.376189718169602,22.74485704872153
4,Clint Capela,C. Capela,ATL,30,73,73,25.794520547945204,8.98941738,15.73784685839917,0.5711974109852528,0.0,0.025465772,0.0,3.310550310019243,5.245948952799723,0.6310679611650486,8.531033491203434,0.1851039231262388,11.230405282449894,0.2624973585202928,2.3173852170134706,0.20328835671521767,1.095028179467903,0.020537604808614062,2.6993717912464597,0.0941974192021615,1.884467099549415,0.09455177348461616,4.176386544947351,21.289385070585286
5,De'Andre Hunter,D. Hunter,ATL,26,57,37,29.49122807017544,8.671875417859953,18.91267566460904,0.4585218702865762,3.337531,8.671875417859953,0.38486842109450375,4.7353003926472095,5.591077572041284,0.846938775510204,0.8843030853738767,0.019187355260546646,5.448448042142274,0.12735098895606478,2.4817538202428153,0.10858169836753033,1.1410362391920992,0.018717960963632214,0.4564144956768395,0.013930616300814748,2.3676501963236047,0.09973084687109486,4.164782273051161,25.41658223
6,Al Horford,A. Horford,BOS,38,65,33,26.76923076923077,6.073506457,11.89158507,0.5107398569028612,3.065134099616858,7.322264793529162,0.4186046511627906,0.7379026536114659,0.8514261387824607,0.8666666666666667,2.327231446005393,0.05414315910243495,9.394068397899815,0.20095836601997932,4.767986377,0.4218985434914545,1.0784731091244504,0.020046844502907314,1.759614020150418,0.057909262636526015,1.362281822051937,0.09995835069940143,2.6394210302256274,15.95004966652476
7,Jaylen Brown,J. Brown,BOS,27,70,70,33.47142857142857,13.215093027299602,26.472339461384845,0.49920382165605104,3.056121991959239,8.641448391057153,0.35365853658536606,4.447184415885512,6.323011017846699,0.7033333333333334,1.7704430849970756,0.041189449290631626,6.386241128025166,0.13661477942660533,5.248099145,0.1693877551080842,1.749366381604253,0.026006333059988024,0.7798380255344264,0.020525638338477623,3.498732763208506,0.1068211068211068,3.899190127672131,33.93349246244395
8,Jrue Holiday,J. Holiday,BOS,34,69,69,32.79710144927536,7.223013262194291,15.03521491737724,0.4804063860667634,3.011407341942031,7.026617131198071,0.42857142857142866,1.3093075399747958,1.5711690479697549,0.8333333333333334,1.8330305559647144,0.042645550016769736,6.3064979842119335,0.13490891023306337,7.266656846860117,0.4377662091812589,1.3311293323077091,0.02019562894770604,1.156554993644403,0.03106685839738495,2.705902249281245,0.14680115546715916,2.356753571954633,18.766741406305407
9,Sam Hauser,S. Hauser,BOS,26,79,13,22.037974683544306,7.062777884144914,15.827429957240414,0.4462365591397848,5.587820253721078,13.18952496436701,0.42365591397849467,0.4821976868693315,0.5389268265010176,0.894736842105263,1.2764056417129366,0.02969564280215083,6.552215627459739,0.14016531395484153,2.3258947248991286,0.1481856296092216,1.1345827926337213,0.025617521265445628,0.7091142453960758,0.02834725713799312,0.907666234,0.05347951065651145,2.8080924117684605,20.19557370888024
10,Payton Pritchard,P. Pritchard,BOS,26,82,5,22.26829268292683,8.032128514056225,17.173069381904718,0.46771653543307107,3.975497951401566,10.330885832893864,0.3848167539267016,1.2440333725474286,1.5144754100577391,0.8214285714285715,1.8930942625721745,0.04404293523546454,5.273619731451056,0.11281352863899263,7.599421254039728,0.4318824541989427,1.0547239462902112,0.023568094887896015,0.1622652225061863,0.006419556741217577,1.6496964288128952,0.08464698046181178,2.866685597609292,21.28378835206145
