,Player 1,Player 2,Team,Position,MP,PTS,FG,FGA,FG%,3P,3PA,eFG%,FT,FTA,FT%,DRB,DRB%,ORB,ORB%,TRB,TRB%,AST,STL,BLK,TOV,PF,ORTG2,DRTG2,Dist._diff,0-3_x_diff,3-10_x_diff,10-16_x_diff,16-3P_x_diff,3P_x_diff,USG%_diff,Assists,APM,PIE,Compatibility Score,Rank
0,Bogdan Bogdanovic,C. Capela,ATL,GC,977:24:00,71.61592594960119,84.99055704622621,88.55675915294083,65.00068864613934,51.14823,48.401664925,60.46067378440757,16.208799125000002,19.767186925,50.88947352499999,76.23452780269614,84.25906804154282,76.36733477870614,84.25906804154282,82.64131070649458,82.58181318930089,74.18015391991457,62.363103957010644,12.363006949999999,39.285672275,83.33419532313462,49.3493801,35.558247525,89.3258426966292,71.07231920199499,41.935483875,25.846153849999997,20.869565225,81.14525139664804,7.290498350000002,21.484375,29.79601025,47.9839182,0.2007472353667916,21.0
1,D. Murray,T. Young,ATL,GG,1173:09:00,28.801901549999997,23.169986549999997,29.560181549999996,25.765728175000003,53.567126698207765,30.296299325,33.980189425,39.282251,46.922558625,45.702598075,28.615876125,37.582930775,41.122869075000004,37.582930775,34.778894825,35.6815657,28.292256800000004,42.667811,56.0591617794196,57.019691032067854,46.530262425000004,34.282088300000005,18.952106925000002,15.168539325000003,6.109725675,0.5865102750000017,7.384615374999997,5.217391300000002,12.011173175,11.749699450000001,41.796875,49.0453021,63.83992493866858,-0.92638448,586.0
2,S. Bey,J. Johnson,ATL,FF,891:20:00,58.546381661659844,51.948528,15.037947075000002,73.86019585085924,25.749814625,31.942241650000003,61.47915395233957,76.63926830903578,84.74611204658258,52.834551807983324,86.33545391740938,58.66247663680919,43.6403309,58.66247663680919,69.437885635428,71.234979125,50.38642947500001,26.911576625,48.348075625,66.87192367180737,21.050616574999996,41.254496325,31.233987425,21.91011235,6.857855349999998,34.31085045,15.384615375,3.478260875,31.983240225,5.4961824250000015,15.234375,23.005459849999998,63.738585721401286,-0.519832348,412.0
3,Bogdan Bogdanovic,D. Hunter,ATL,GF,904:20:00,70.71457806767421,67.93660656510556,35.91365915,78.92277139641348,53.567126698207765,74.7367422,77.77483663925149,48.072137425,49.832062725,63.2083026914283,57.47566501822868,33.81872615,27.276828975,33.81872615,39.730179225,40.220299325,77.57925741118297,62.363103957010644,63.77024792705052,33.3743327,60.68562123412481,34.075151525,19.5500442,12.921348324999999,5.361596000000002,0.2932551250000026,12.923076924999998,16.521739125,17.31843575,3.792449474999998,13.671875,20.106513825,76.31232028544723,-0.5491203,427.0
4,Bogdan Bogdanovic,O. Okongwu,ATL,GC,1072:39:00,62.1517731893678,50.882656075,45.89769535,48.547318125,60.823816799999996,50.047607275,54.34979277681561,55.76328804816575,46.922558625,87.8459610396101,19.95793945,24.784635075,28.535559899999996,24.784635075,18.274613475000002,18.283086775,55.485084717938314,87.96698481581711,32.925903325,11.699420900000002,46.530262425000004,58.099048293366295,26.971132524999998,65.16853932584267,54.3640897755611,24.926686225,24.923076924999997,20.0,55.02793296089384,22.785913125,18.75,23.031491399999997,54.923248300000004,-0.251379764,195.0
5,J. Johnson,D. Murray,ATL,GF,1262:33:00,40.970097974999995,41.28980895,27.744902250000003,51.0786059,25.749814625,27.004414675,42.12803075,54.66455224496206,64.3795832762109,43.757519775,54.58968612831061,55.65111294213464,49.9339855,55.65111294213464,56.23446056436141,56.86232262419324,48.686877725,44.637340275,45.777713575,60.96058408796367,52.19240595,33.542836775,35.045663174999994,24.157303375,21.44638405,23.7536657,30.153846149999996,26.086956524999998,13.128491624999999,20.750759975,37.890625,40.75383075,71.36075649640188,-0.480243619,374.0
6,C. Capela,D. Murray,ATL,GC,1771:30:00,53.1382943700979,59.40963132454523,67.68104708121642,46.01603035,55.98602340074705,45.93275145,49.257391925,20.603742349999997,31.40520335,30.790331174999995,53.14669668335158,69.20224956817009,67.5562183513972,69.20224956817009,64.48660123377803,65.18333427761041,67.38194693737775,54.484986769685584,38.066627425,41.256118799999996,69.1788365175035,46.621947825,38.364407025000006,69.66292135,65.21197007481294,29.325513199999996,52.3076923,33.04347825,52.6536312849162,8.884640100000002,33.203125,23.818847275,77.6586019980317,-0.006393302,56.0
7,Bogdan Bogdanovic,J. Johnson,ATL,GF,1098:02:00,73.86929565441866,70.06835037524564,35.006019499999994,83.98534694196772,36.634849775,54.985434247805266,72.6824357995915,65.651910275,63.40974857285986,78.76892901659576,69.01958057790097,37.582930775,27.276828975,37.582930775,47.9823199,49.297766575000004,87.7765678849882,82.05839692532331,66.34060997626084,25.492546575,29.543831850000004,36.346745275,31.983198074999997,43.820224725,27.306733174999998,36.363636375,3.6923077000000024,13.913043474999998,41.620111725,19.156618225,20.3125,24.443839750000002,71.44661599999999,-0.170461827,133.0
8,S. Bey,D. Murray,ATL,GF,1594:50:00,39.61807615,37.026321325,40.451857425,35.89087925,39.053746475000004,23.712529999999997,36.01714975,48.072137425,54.68123624270056,50.241114075000006,54.58968612831061,57.909635724999994,53.710178251340324,57.909635724999994,56.23446056436141,56.86232262419324,21.4940498,36.7592231,43.207351525,58.99013756001577,55.02347771187236,36.4070829,23.269883074999996,2.247190999999998,14.588528675000001,10.557184749999998,45.53846155,29.565217399999998,18.854748599999997,26.29902925,30.46875,24.518428025,66.61729525602385,-0.695537257,528.0
9,D. Hunter,D. Murray,ATL,GF,1413:14:00,51.3355986,51.948528,35.91365915,57.406825325,58.40492010328634,62.39217472570897,61.47915395233957,30.492364574999996,41.1035504,35.3288472,35.830823349999996,30.054521525,29.7942908,30.054521525,29.827610425,30.386376449999997,53.785532972304104,58.42404536334811,50.91843767499999,37.31522575,72.00990827862972,31.550028175,22.449945575,6.741573025000003,0.498753125000001,12.316715550000001,13.538461550000003,4.3478260749999995,11.173184349999998,5.386591224999998,42.96875,41.084122325,40.4689022,-0.800006422,563.0
10,J. Johnson,T. Young,ATL,GF,1142:24:00,43.6741416,39.15806512499999,34.098379825,42.2190987,41.472643175,31.942241650000003,42.12803075,52.46708065,60.500244474999995,49.592754649999996,28.615876125,45.864180925,47.416523649999995,45.864180925,39.730179225,40.976754925,48.686877725,56.454516066516845,63.77024792705052,43.226565324999996,26.7127601,37.73185725,24.515070025000004,39.3258427,27.556109725,24.34017595,22.769230775,20.869565225,25.1396648,32.552546275,48.046875,58.40692522468577,66.77545263772437,-0.497282254,392.0
11,S. Bey,T. Young,ATL,GF,1237:48:00,53.5889683110614,44.48742465,33.190740175,49.812962,69.28995526471311,50.870578425000005,60.46067378440757,41.4797226,47.892393325,48.2960358,47.374738900000004,41.3471354,37.346676325,41.3471354,43.0310355,45.51548855,48.686877725,42.667811,48.348075625,51.10835145,38.03704715000001,40.529430049999995,13.2477872,17.415730325000002,20.698254375,9.970674475000003,38.15384615,24.347826075,6.843575424999998,38.100815575,21.09375,22.045858499999998,50.536406275000004,-0.684236675,520.0
12,C. Capela,J. Johnson,ATL,FC,931:48:00,33.75931490000001,34.894577500000004,31.375460874999998,40.9534548,20.912021225,14.659847199999998,31.943229075,54.66455224496206,72.13826090301916,24.9550963,58.918654475,69.95509049183873,66.29748743321022,69.95509049183873,69.437885635428,68.96561230189096,43.5882225,32.8201645,63.77024792705052,76.72415631154686,38.03704715000001,52.363705125,47.552677575000004,45.505617975,43.765586025000005,5.571847499999999,22.15384615,6.95652175,39.525139675,11.814033024999999,11.328125,15.7333536,56.30390315104019,-0.412404474,309.0
13,S. Bey,Bogdan Bogdanovic,ATL,GF,1147:02:00,77.47468718212662,73.26596609045578,56.78937121770803,71.32890807808212,69.28995526471311,66.50703054676657,75.73787630338748,40.3809868,38.194046275,67.74681870293546,76.23452780269614,60.9209994078151,48.675254575,60.9209994078151,62.83617309989471,65.18333427761041,53.785532972304104,56.454516066516845,22.64445515,43.226565324999996,57.854549472998585,39.349760724999996,19.960787875,21.91011235,20.448877799999998,2.0527859250000002,19.076923075000003,17.39130435,9.6368715,24.704887525000004,12.109375,12.851106325,70.36647123912456,-0.442271916,345.0
14,Bogdan Bogdanovic,D. Murray,ATL,GG,1427:54:00,64.4051429,67.93660656510556,63.14284880475459,58.67246921419653,48.7293333,50.047607275,56.386753125,37.0847794,39.163881,59.318146110136425,61.804633353105785,61.67384033148373,53.710178251340324,61.67384033148373,59.53531683212806,60.64460064847378,50.38642947500001,62.363103957010644,14.933369000000003,35.344779225,72.00990827862972,32.795444274999994,25.078739325,19.66292135,5.860349124999997,12.609970674999998,26.46153845,12.173913050000001,28.491620100000002,1.5420548749999985,42.96875,40.612052874999996,77.10364705164568,-0.490509056,385.0
15,S. Bey,C. Capela,ATL,FC,1047:53:00,45.927511325,49.816784175,58.60465052829276,40.9534548,43.8915399,35.2341263,40.091070425,34.887307775,43.043219799999996,41.8124415,66.1336016879829,71.460772339176,66.29748743321022,71.460772339176,71.08831376931133,71.234979125,50.38642947500001,32.8201645,32.925903325,64.90147714385947,60.68562123412481,56.172407146550874,35.516525,67.41573033707864,50.623441400000004,39.88269795,6.769230775000001,3.478260875,71.50837988826815,17.3623023,4.6875,4.287659599999999,57.66720299061531,-0.259938638,200.0
