Player,Team,Age,G,MP,FG%,Dist.,2P_x,0-3_x,3-10_x,10-16_x,16-3P_x,3P_x,2P_y,0-3_y,3-10_y,10-16_y,16-3P_y,3P_y,2P_z,3P_z,%FGA,#_x,%3PA,3P%,Att.,#_y
J. Hart,NYK,28,81,2707,0.434,12.8,0.62,0.321,0.169,0.1,0.029,0.38,0.511,0.661,0.339,0.382,0.3,0.31,0.633,0.888,0.016,10,0.24,0.339,1,0
D. DiVincenzo,NYK,27,81,2360,0.443,19.2,0.298,0.178,0.081,0.027,0.012,0.702,0.542,0.603,0.407,0.556,0.5,0.401,0.636,0.919,0.025,20,0.251,0.446,3,1
I. Hartenstein,NYK,25,75,1896,0.644,3.5,0.992,0.641,0.26,0.085,0.005,0.008,0.646,0.709,0.568,0.387,1,0.333,0.654,1,0.258,86,0,,0,0
J. Randle,NYK,29,46,1630,0.472,11.7,0.708,0.266,0.291,0.115,0.037,0.292,0.539,0.689,0.469,0.406,0.419,0.311,0.423,0.868,0.032,24,0.148,0.528,0,0
M. McBride,NYK,23,68,1328,0.452,17.8,0.414,0.172,0.081,0.099,0.062,0.586,0.511,0.679,0.351,0.444,0.357,0.41,0.375,0.899,0.035,12,0.395,0.457,3,0
P. Achiuwa,NYK,24,49,1187,0.525,6.5,0.833,0.579,0.197,0.047,0.01,0.167,0.578,0.711,0.288,0.286,0,0.26,0.563,0.923,0.144,41,0.58,0.31,0,0
Q. Grimes,NYK,23,45,910,0.395,19.6,0.259,0.171,0.045,0.01,0.031,0.741,0.486,0.592,0.385,0,0.222,0.363,0.75,0.961,0.014,1,0.325,0.391,0,0
M. Robinson,NYK,25,31,768,0.575,1,1,0.929,0.071,0,0,0,0.575,0.602,0.222,,,,0.479,,0.409,45,,,0,0
I. Quickley,NYK,24,30,720,0.454,16.9,0.516,0.101,0.203,0.152,0.06,0.484,0.509,0.647,0.471,0.529,0.35,0.395,0.398,0.719,0.003,1,0.278,0.289,0,0
S. Gilgeous-Alexander,OKC,25,75,2553,0.535,11.3,0.819,0.252,0.224,0.26,0.083,0.181,0.576,0.731,0.492,0.53,0.472,0.353,0.223,0.368,0.027,37,0.059,0.5,0,0
C. Holmgren,OKC,21,82,2413,0.53,12.8,0.634,0.296,0.208,0.093,0.037,0.366,0.623,0.77,0.535,0.461,0.343,0.37,0.652,0.977,0.156,137,0.106,0.324,2,0
L. Dort,OKC,24,79,2246,0.438,17.4,0.397,0.212,0.096,0.05,0.04,0.603,0.506,0.612,0.397,0.424,0.308,0.394,0.636,0.994,0.041,23,0.278,0.409,0,0
J. Williams,OKC,22,71,2223,0.54,11.9,0.757,0.261,0.241,0.171,0.085,0.243,0.576,0.73,0.473,0.529,0.488,0.427,0.404,0.748,0.075,63,0.104,0.52,0,0
J. Giddey,OKC,21,80,2011,0.475,10.9,0.713,0.283,0.336,0.064,0.03,0.287,0.53,0.671,0.425,0.519,0.4,0.337,0.522,0.963,0.006,4,0.37,0.367,0,0
C. Wallace,OKC,20,82,1692,0.491,16,0.471,0.229,0.12,0.059,0.063,0.529,0.572,0.752,0.377,0.5,0.357,0.419,0.655,0.969,0.054,19,0.496,0.474,0,0
I. Joe,OKC,24,78,1445,0.458,21.3,0.272,0.091,0.041,0.07,0.07,0.728,0.568,0.773,0.4,0.5,0.471,0.416,0.76,0.966,0.039,15,0.212,0.413,2,0
Aaron Wiggins,OKC,25,78,1228,0.562,10.7,0.666,0.422,0.186,0.04,0.019,0.334,0.598,0.698,0.457,0.467,0,0.492,0.667,0.968,0.042,12,0.413,0.404,0,0
P. Banchero,ORL,21,80,2799,0.455,12.6,0.751,0.225,0.235,0.183,0.108,0.249,0.493,0.703,0.403,0.395,0.421,0.339,0.363,0.655,0.063,80,0.068,0.25,2,0
F. Wagner,ORL,22,72,2337,0.482,11.3,0.695,0.315,0.32,0.039,0.022,0.305,0.57,0.716,0.459,0.442,0.292,0.281,0.419,0.787,0.06,65,0.12,0.225,4,0
J. Suggs,ORL,22,75,2025,0.471,16.7,0.461,0.204,0.137,0.078,0.041,0.539,0.556,0.712,0.48,0.321,0.483,0.397,0.486,0.869,0.048,26,0.252,0.392,1,0
