Player,Team,Age,G,MP,FG%,Dist.,2P_x,0-3_x,3-10_x,10-16_x,16-3P_x,3P_x,2P_y,0-3_y,3-10_y,10-16_y,16-3P_y,3P_y,2P_z,3P_z,%FGA,#_x,%3PA,3P%,Att.,#_y
D. Murray,ATL,27,78,2783,0.459,14.9,0.621,0.17,0.191,0.181,0.079,0.379,0.518,0.581,0.464,0.521,0.509,0.363,0.261,0.706,0.011,14,0.222,0.431,1,0
Bogdan Bogdanovic,ATL,31,79,2401,0.428,18.4,0.417,0.123,0.148,0.095,0.051,0.583,0.503,0.563,0.46,0.514,0.464,0.374,0.558,0.863,0.008,7,0.204,0.42,5,0
S. Bey,ATL,24,63,2062,0.416,14.5,0.486,0.287,0.155,0.033,0.011,0.514,0.522,0.645,0.361,0.261,0.375,0.316,0.492,0.982,0.066,44,0.453,0.29,1,0
T. Young,ATL,25,54,1942,0.43,17.6,0.535,0.121,0.189,0.157,0.067,0.465,0.479,0.598,0.424,0.456,0.471,0.373,0.252,0.337,0.001,0,0.053,0.48,5,0
J. Johnson,ATL,22,56,1889,0.511,10.6,0.715,0.342,0.272,0.083,0.019,0.285,0.574,0.696,0.471,0.431,0.462,0.355,0.705,0.972,0.15,98,0.285,0.298,1,0
C. Capela,ATL,29,73,1883,0.571,2.5,0.998,0.693,0.291,0.011,0.003,0.002,0.572,0.636,0.433,0.429,0,0,0.68,,0.252,144,0,,1,0
D. Hunter,ATL,26,57,1681,0.459,16.1,0.541,0.166,0.149,0.137,0.089,0.459,0.521,0.682,0.485,0.429,0.424,0.385,0.674,0.906,0.027,13,0.322,0.398,0,0
O. Okongwu,ATL,23,55,1405,0.611,6.8,0.811,0.559,0.233,0.014,0.005,0.189,0.676,0.74,0.529,0.4,1,0.333,0.775,1,0.244,78,0.739,0.431,1,0
J. Tatum,BOS,25,74,2645,0.471,15.4,0.573,0.222,0.167,0.092,0.092,0.427,0.542,0.741,0.441,0.389,0.397,0.376,0.357,0.485,0.065,86,0.059,0.361,0,0
D. White,BOS,29,73,2381,0.461,18,0.41,0.114,0.192,0.08,0.024,0.59,0.555,0.771,0.509,0.373,0.5,0.396,0.419,0.801,0.015,13,0.202,0.42,0,0
J. Brown,BOS,27,70,2343,0.499,13,0.674,0.247,0.237,0.119,0.07,0.326,0.57,0.723,0.487,0.52,0.398,0.354,0.429,0.634,0.075,76,0.205,0.381,0,0
J. Holiday,BOS,33,69,2263,0.48,15.7,0.533,0.163,0.219,0.099,0.052,0.467,0.526,0.688,0.49,0.397,0.417,0.429,0.461,0.754,0.01,5,0.261,0.619,1,0
P. Pritchard,BOS,26,82,1825,0.468,19.1,0.398,0.132,0.117,0.083,0.066,0.602,0.593,0.762,0.486,0.566,0.476,0.385,0.273,0.85,0,0,0.251,0.438,5,1
S. Hauser,BOS,26,79,1741,0.446,22.7,0.167,0.072,0.048,0.027,0.02,0.833,0.559,0.675,0.407,0.467,0.636,0.424,0.731,0.975,0.016,9,0.241,0.518,2,0
A. Horford,BOS,37,65,1740,0.511,17.2,0.384,0.184,0.155,0.024,0.021,0.616,0.658,0.818,0.523,0.6,0.333,0.419,0.726,1,0.045,18,0.384,0.424,0,0
K. Porzingis,BOS,28,57,1690,0.516,14.6,0.61,0.251,0.176,0.126,0.057,0.39,0.606,0.751,0.538,0.505,0.395,0.375,0.716,0.991,0.128,89,0.024,0.143,2,0
L. Kornet,BOS,28,63,983,0.7,2.1,0.995,0.773,0.212,0.01,0,0.005,0.698,0.79,0.372,0.5,,1,0.709,1,0.404,72,0,,0,0
Mikal Bridges,BRK,27,82,2854,0.436,15.9,0.543,0.165,0.163,0.158,0.056,0.457,0.49,0.668,0.398,0.468,0.292,0.372,0.494,0.882,0.016,20,0.338,0.405,5,1
N. Claxton,BRK,24,71,2116,0.629,3.6,0.991,0.596,0.337,0.05,0.009,0.009,0.633,0.769,0.434,0.345,0.6,0.2,0.729,1,0.328,172,0.8,0.25,0,0
C. Thomas,BRK,22,66,2075,0.442,14.8,0.667,0.138,0.225,0.187,0.117,0.333,0.481,0.646,0.433,0.462,0.41,0.364,0.432,0.674,0.002,2,0.126,0.5,1,0
D. Finney-Smith,BRK,30,68,1934,0.421,17.6,0.342,0.225,0.096,0.012,0.01,0.658,0.56,0.687,0.306,0.667,0,0.348,0.745,0.974,0.057,24,0.348,0.35,2,0
C. Johnson,BRK,27,58,1599,0.446,17.5,0.43,0.17,0.126,0.073,0.061,0.57,0.519,0.724,0.41,0.378,0.342,0.391,0.601,0.957,0.034,18,0.331,0.462,1,0
S. Dinwiddie,BRK,30,48,1474,0.391,17,0.443,0.14,0.222,0.06,0.02,0.557,0.48,0.643,0.441,0.333,0.2,0.32,0.16,0.719,0.016,5,0.212,0.458,2,0
R. O'Neale,BRK,30,49,1202,0.388,22.6,0.185,0.098,0.065,0.022,0,0.815,0.483,0.531,0.381,0.571,,0.366,0.69,0.928,0.009,2,0.151,0.45,6,0
D. Smith,BRK,26,56,1059,0.435,11.5,0.678,0.37,0.198,0.044,0.065,0.322,0.502,0.672,0.299,0.267,0.318,0.294,0.426,0.875,0.083,25,0.349,0.342,1,0
D. Schroder,BRK,30,29,927,0.424,15.1,0.598,0.198,0.188,0.133,0.079,0.402,0.432,0.603,0.333,0.408,0.276,0.412,0.221,0.672,0,0,0.108,0.5,1,0
Miles Bridges,CHO,25,69,2581,0.462,13.6,0.628,0.283,0.207,0.058,0.081,0.372,0.529,0.696,0.424,0.343,0.347,0.349,0.555,0.879,0.058,66,0.196,0.341,7,0
B. Miller,CHO,21,74,2383,0.44,16.7,0.545,0.141,0.168,0.163,0.073,0.455,0.495,0.673,0.412,0.426,0.494,0.373,0.493,0.908,0.039,39,0.181,0.393,4,0
N. Richards,CHO,26,67,1759,0.691,3.1,0.997,0.684,0.245,0.059,0.011,0.003,0.693,0.782,0.543,0.364,0.25,0,0.681,,0.354,120,0,,0,0
P. Washington,CHO,25,44,1286,0.446,15,0.521,0.224,0.238,0.043,0.016,0.479,0.558,0.719,0.438,0.455,0.375,0.324,0.784,0.937,0.059,28,0.176,0.256,2,0
T. Rozier,CHO,29,30,1065,0.459,15.2,0.577,0.186,0.208,0.102,0.082,0.423,0.533,0.598,0.544,0.446,0.467,0.358,0.325,0.639,0.002,1,0.254,0.305,2,0
G. Williams,CHO,25,29,888,0.503,14.3,0.563,0.24,0.201,0.111,0.01,0.438,0.605,0.855,0.448,0.375,0.333,0.373,0.735,0.894,0.028,8,0.206,0.269,0,0
Tre Mann,CHO,22,28,868,0.453,14.1,0.612,0.236,0.228,0.109,0.04,0.388,0.509,0.677,0.429,0.433,0.182,0.364,0.174,0.769,0.025,4,0.206,0.409,0,0
G. Hayward,CHO,33,25,798,0.468,12.3,0.795,0.209,0.249,0.202,0.135,0.205,0.496,0.742,0.432,0.467,0.275,0.361,0.556,0.955,0.051,14,0.279,0.412,0,0
Cody Martin,CHO,28,28,53,0.381,14.8,0.6,0.223,0.158,0.098,0.121,0.4,0.426,0.667,0.382,0.381,0.077,0.314,0.436,0.704,0.033,5,0.36,0.355,0,0
V. Micic,CHO,30,30,815,0.437,14.2,0.609,0.301,0.136,0.093,0.079,0.391,0.529,0.655,0.316,0.462,0.5,0.294,0.289,0.531,0,0,0.064,0.286,0,0
I. Smith,CHO,35,43,741,0.418,10.3,0.949,0.222,0.278,0.31,0.139,0.051,0.413,0.457,0.477,0.306,0.455,0.5,0.387,0.75,0,0,0.125,1,1,0
D. DeRozan,CHI,34,79,2989,0.48,13.2,0.834,0.182,0.172,0.25,0.23,0.166,0.509,0.684,0.494,0.49,0.402,0.333,0.282,0.853,0.019,18,0.316,0.394,1,0
C. White,CHI,23,79,2881,0.447,15.5,0.54,0.25,0.156,0.085,0.05,0.46,0.508,0.656,0.362,0.485,0.267,0.376,0.289,0.833,0.012,14,0.126,0.4,4,0
N. Vucevic,CHI,33,76,2610,0.484,12.1,0.742,0.225,0.302,0.128,0.086,0.258,0.55,0.645,0.552,0.477,0.404,0.294,0.745,1,0.031,31,0.054,0.294,0,0
A. Dosunmu,CHI,24,76,2212,0.501,13,0.59,0.334,0.164,0.05,0.042,0.41,0.568,0.654,0.466,0.361,0.533,0.403,0.548,0.891,0.019,13,0.485,0.385,1,0
A. Caruso,CHI,29,71,2040,0.468,17.1,0.384,0.216,0.115,0.022,0.031,0.616,0.563,0.675,0.387,0.667,0.353,0.408,0.436,0.89,0.031,15,0.363,0.397,0,0
A. Drummond,CHI,30,79,1351,0.556,2.8,0.994,0.713,0.26,0.021,0,0.006,0.56,0.614,0.416,0.5,,0,0.558,,0.16,65,0,,3,0
P. Williams,CHI,22,43,1174,0.443,14.6,0.588,0.267,0.128,0.092,0.1,0.412,0.474,0.573,0.326,0.485,0.389,0.399,0.55,0.966,0.109,29,0.304,0.422,0,0
T. Craig,CHI,33,53,1049,0.43,16.8,0.39,0.219,0.124,0.02,0.028,0.61,0.49,0.582,0.419,0.2,0.286,0.392,0.583,0.967,0.02,3,0.451,0.362,0,0
Z. LaVine,CHI,28,25,872,0.452,15.7,0.551,0.237,0.136,0.053,0.125,0.449,0.536,0.64,0.431,0.5,0.468,0.349,0.396,0.525,0.04,13,0.183,0.452,0,0
J. Allen,CLE,25,77,2442,0.634,4.2,0.993,0.554,0.338,0.081,0.02,0.007,0.638,0.738,0.531,0.5,0.25,0,0.823,,0.243,170,0.333,0,0,0
M. Strus,CLE,27,70,2239,0.418,18.3,0.342,0.238,0.078,0.016,0.01,0.658,0.546,0.607,0.351,0.667,0.429,0.351,0.684,0.964,0.036,22,0.23,0.336,3,1
C. LeVert,CLE,29,68,1958,0.421,13.6,0.595,0.261,0.212,0.11,0.012,0.405,0.486,0.617,0.379,0.389,0.4,0.325,0.414,0.769,0.043,33,0.175,0.328,1,0
Donovan Mitchell,CLE,27,55,1942,0.462,16.4,0.546,0.209,0.139,0.097,0.101,0.454,0.539,0.702,0.411,0.462,0.455,0.368,0.249,0.56,0.019,18,0.051,0.32,1,0
D. Garland,CLE,24,57,1901,0.446,15.7,0.577,0.17,0.214,0.115,0.077,0.423,0.501,0.643,0.406,0.505,0.446,0.371,0.346,0.652,0,0,0.14,0.44,0,0
I. Okoro,CLE,23,69,1887,0.49,12.5,0.552,0.388,0.15,0.008,0.006,0.448,0.57,0.64,0.403,0,1,0.391,0.795,0.976,0.046,18,0.642,0.399,1,0
G. Niang,CLE,30,82,1831,0.449,17.9,0.373,0.12,0.196,0.049,0.008,0.627,0.572,0.684,0.524,0.548,0.2,0.376,0.741,0.973,0,0,0.354,0.343,0,0
E. Mobley,CLE,22,50,1532,0.58,6.5,0.893,0.464,0.337,0.065,0.027,0.107,0.604,0.77,0.462,0.361,0.133,0.373,0.725,1,0.239,129,0.424,0.36,0,0
L. Doncic,DAL,24,70,2624,0.487,16.9,0.55,0.123,0.192,0.152,0.082,0.45,0.573,0.838,0.569,0.442,0.422,0.382,0.177,0.299,0.001,2,0.032,0.25,5,0
T. Hardaway,DAL,31,79,2120,0.402,19.7,0.388,0.093,0.087,0.102,0.106,0.612,0.478,0.725,0.365,0.45,0.379,0.353,0.685,0.858,0.016,15,0.253,0.391,3,0
K. Irving,DAL,31,58,2030,0.497,15.1,0.628,0.144,0.226,0.171,0.087,0.372,0.548,0.675,0.527,0.518,0.449,0.411,0.375,0.653,0.006,6,0.166,0.514,1,0
D. Jones,DAL,26,76,1783,0.483,13.2,0.517,0.327,0.168,0.018,0.004,0.483,0.613,0.691,0.494,0.444,0,0.343,0.764,0.988,0.158,62,0.586,0.343,0,0
Josh Green,DAL,23,57,1505,0.479,14.5,0.5,0.265,0.158,0.045,0.032,0.5,0.572,0.768,0.339,0.294,0.5,0.385,0.748,0.958,0.091,31,0.626,0.385,0,0
D. Lively,DAL,19,55,1294,0.747,2.4,0.993,0.75,0.23,0.01,0.003,0.007,0.752,0.833,0.515,0,1,0,0.81,,0.527,141,1,0,0,0
G. Williams,DAL,25,47,1242,0.413,18.6,0.338,0.132,0.132,0.05,0.022,0.662,0.486,0.69,0.333,0.375,0.429,0.376,0.75,0.987,0.013,2,0.386,0.37,1,0
D. Exum,DAL,28,55,1088,0.533,11.9,0.642,0.328,0.238,0.053,0.023,0.358,0.557,0.697,0.375,0.688,0.143,0.491,0.528,0.981,0.056,14,0.426,0.457,2,0
P. Washington,DAL,25,29,935,0.421,16.1,0.44,0.159,0.242,0.033,0.007,0.56,0.556,0.729,0.479,0.4,0,0.314,0.824,0.981,0.063,17,0.396,0.239,0,0
M. Kleber,DAL,32,43,871,0.432,18,0.37,0.178,0.075,0.082,0.034,0.63,0.574,0.769,0.273,0.583,0.2,0.348,0.839,0.969,0.041,6,0.348,0.219,0,0
N. Jokic,DEN,28,79,737,0.583,9.7,0.836,0.26,0.404,0.115,0.057,0.164,0.626,0.741,0.614,0.537,0.37,0.359,0.572,0.807,0.013,17,0.035,0.25,8,0
M. Porter,DEN,25,81,2565,0.484,17.5,0.487,0.179,0.092,0.08,0.136,0.513,0.575,0.725,0.414,0.477,0.544,0.397,0.758,0.964,0.055,49,0.211,0.436,1,0
K. Caldwell-Pope,DEN,30,76,2402,0.46,17.2,0.475,0.177,0.085,0.089,0.124,0.525,0.52,0.615,0.44,0.423,0.507,0.406,0.745,0.944,0.02,12,0.373,0.426,0,0
A. Gordon,DEN,28,73,2297,0.556,7.4,0.807,0.554,0.183,0.053,0.017,0.193,0.619,0.738,0.382,0.263,0.417,0.29,0.642,0.85,0.256,171,0.391,0.352,1,0
J. Murray,DEN,26,59,1861,0.481,15.2,0.654,0.166,0.167,0.169,0.151,0.346,0.51,0.652,0.461,0.455,0.47,0.425,0.337,0.6,0.019,19,0.111,0.289,2,0
R. Jackson,DEN,33,82,1817,0.431,14.6,0.624,0.187,0.247,0.089,0.102,0.376,0.475,0.61,0.422,0.433,0.39,0.359,0.402,0.775,0.011,6,0.204,0.397,4,0
C. Braun,DEN,22,82,1655,0.46,11.4,0.66,0.342,0.263,0.025,0.031,0.34,0.498,0.667,0.339,0.083,0.333,0.384,0.692,0.937,0.068,30,0.341,0.304,1,0
P. Watson,DEN,21,80,1488,0.465,12,0.66,0.342,0.204,0.089,0.025,0.34,0.553,0.66,0.407,0.525,0.364,0.296,0.785,0.978,0.143,58,0.434,0.273,6,0
J. Ivey,DET,21,77,2217,0.429,13.8,0.621,0.222,0.249,0.118,0.032,0.379,0.485,0.657,0.413,0.339,0.387,0.336,0.423,0.895,0.015,14,0.225,0.337,6,0
C. Cunningham,DET,22,62,2074,0.449,13.5,0.713,0.177,0.275,0.154,0.106,0.287,0.487,0.618,0.402,0.528,0.427,0.355,0.262,0.706,0.022,23,0.116,0.359,5,0
J. Duren,DET,20,61,1777,0.619,3.9,0.993,0.521,0.397,0.055,0.02,0.007,0.623,0.741,0.536,0.29,0.182,0,0.676,,0.296,156,0,,0,0
Ausar Thompson,DET,21,63,583,0.483,9.8,0.765,0.377,0.283,0.05,0.054,0.235,0.575,0.652,0.544,0.458,0.308,0.186,0.673,0.952,0.183,79,0.575,0.231,4,0
I. Stewart,DET,22,46,1423,0.487,13.5,0.542,0.301,0.212,0.018,0.01,0.458,0.575,0.635,0.519,0.429,0.25,0.383,0.723,1,0.071,21,0.349,0.361,0,0
M. Sasser,DET,23,71,1351,0.428,17.7,0.531,0.088,0.164,0.166,0.113,0.469,0.474,0.644,0.452,0.482,0.362,0.375,0.318,0.644,0.002,1,0.154,0.432,0,0
J. Wiseman,DET,22,63,1091,0.613,4.8,0.993,0.446,0.433,0.079,0.036,0.007,0.617,0.787,0.515,0.375,0.273,0,0.706,,0.282,81,0,,1,0
K. Hayes,DET,22,42,1008,0.413,14.7,0.739,0.06,0.226,0.343,0.11,0.261,0.455,0.706,0.469,0.423,0.387,0.297,0.484,0.864,0.018,5,0.284,0.381,0,0
Bojan Bogdanovic,DET,34,28,21,0.468,16.6,0.513,0.111,0.2,0.141,0.061,0.487,0.518,0.723,0.447,0.5,0.423,0.415,0.584,0.86,0.002,1,0.232,0.438,0,0
S. Curry,GSW,35,74,2421,0.45,19.8,0.394,0.074,0.173,0.065,0.082,0.606,0.515,0.692,0.508,0.426,0.441,0.408,0.399,0.611,0,0,0.08,0.557,2,0
K. Thompson,GSW,33,77,2284,0.432,20.3,0.389,0.051,0.108,0.107,0.124,0.611,0.503,0.724,0.484,0.463,0.464,0.387,0.721,0.937,0.002,2,0.132,0.396,2,0
B. Podziemski,GSW,20,74,1968,0.454,13.8,0.608,0.186,0.322,0.07,0.03,0.392,0.499,0.685,0.443,0.333,0.333,0.385,0.552,0.767,0.008,4,0.192,0.422,1,0
J. Kuminga,GSW,21,74,1949,0.529,9.4,0.809,0.296,0.364,0.109,0.039,0.191,0.578,0.749,0.519,0.394,0.353,0.321,0.615,0.906,0.182,138,0.279,0.435,1,0
Andrew Wiggins,GSW,28,71,1920,0.453,13.2,0.674,0.203,0.292,0.083,0.096,0.326,0.498,0.639,0.491,0.338,0.36,0.358,0.592,0.901,0.049,37,0.157,0.35,1,0
C. Paul,GSW,38,58,1531,0.441,19,0.55,0.021,0.109,0.233,0.186,0.45,0.498,0.8,0.608,0.514,0.379,0.371,0.164,0.679,0,0,0.176,0.243,4,0
D. Green,GSW,33,55,1490,0.497,11.6,0.653,0.293,0.296,0.056,0.008,0.347,0.551,0.67,0.5,0.143,1,0.395,0.769,0.941,0.022,7,0.31,0.425,0,0
K. Looney,GSW,27,74,1195,0.597,4.2,0.996,0.485,0.421,0.06,0.03,0.004,0.599,0.681,0.541,0.429,0.429,0,0.676,,0.12,24,0,,1,0
T. Jackson-Davis,GSW,23,68,1130,0.702,2.5,0.997,0.648,0.343,0.006,0,0.003,0.704,0.777,0.561,1,,0,0.751,,0.373,112,0,,0,0
F. VanVleet,HOU,29,73,2684,0.416,19.9,0.424,0.093,0.123,0.073,0.136,0.576,0.454,0.505,0.384,0.459,0.478,0.387,0.219,0.568,0,0,0.09,0.491,8,0
Jalen Green,HOU,21,82,2601,0.423,15.8,0.546,0.217,0.166,0.064,0.099,0.454,0.498,0.692,0.344,0.353,0.424,0.332,0.34,0.552,0.042,48,0.089,0.37,3,0
J. Smith,HOU,20,76,2424,0.454,16.1,0.544,0.187,0.14,0.142,0.074,0.456,0.53,0.686,0.479,0.458,0.371,0.363,0.617,0.949,0.066,46,0.182,0.464,5,0
D. Brooks,HOU,28,72,2227,0.428,15.7,0.518,0.173,0.228,0.083,0.034,0.482,0.492,0.707,0.36,0.422,0.462,0.359,0.587,0.962,0.021,14,0.154,0.421,2,0
A. Sengun,HOU,21,63,2046,0.537,7.9,0.887,0.338,0.394,0.115,0.04,0.113,0.567,0.69,0.496,0.513,0.385,0.297,0.626,1,0.075,64,0.018,0,2,0
Amen Thompson,HOU,21,62,1388,0.536,6.9,0.87,0.518,0.251,0.054,0.047,0.13,0.595,0.714,0.464,0.292,0.333,0.138,0.481,0.875,0.217,88,0.293,0.118,1,0
Jeff Green,HOU,37,78,1307,0.456,14.5,0.563,0.199,0.26,0.077,0.027,0.437,0.553,0.767,0.453,0.5,0.1,0.331,0.737,0.943,0.068,20,0.45,0.347,4,0
A. Holiday,HOU,27,78,1269,0.446,17.3,0.48,0.122,0.17,0.139,0.048,0.52,0.51,0.647,0.437,0.534,0.35,0.387,0.255,0.81,0.005,2,0.212,0.478,1,0
J. Tate,HOU,28,65,1031,0.472,10.8,0.664,0.336,0.301,0.009,0.017,0.336,0.559,0.61,0.551,0,0,0.299,0.506,1,0.026,4,0.545,0.333,0,0
C. Whitmore,HOU,19,47,880,0.454,14.9,0.529,0.257,0.206,0.026,0.041,0.471,0.538,0.642,0.448,0.5,0.368,0.359,0.579,0.937,0.107,40,0.173,0.342,2,0
T. Haliburton,IND,23,69,2224,0.477,17.6,0.49,0.155,0.171,0.087,0.077,0.51,0.595,0.66,0.592,0.56,0.506,0.364,0.315,0.472,0.026,27,0.08,0.326,4,0
M. Turner,IND,27,77,2076,0.524,13.2,0.644,0.249,0.253,0.081,0.061,0.356,0.615,0.761,0.487,0.568,0.618,0.358,0.8,0.991,0.077,66,0.127,0.317,1,0
A. Nesmith,IND,24,72,1995,0.496,15.2,0.474,0.246,0.167,0.052,0.009,0.526,0.581,0.699,0.434,0.485,0.667,0.419,0.697,0.986,0.052,31,0.419,0.436,0,0
O. Toppin,IND,25,82,1730,0.573,12.7,0.563,0.378,0.157,0.026,0.002,0.437,0.706,0.808,0.516,0.4,0,0.403,0.796,0.99,0.193,101,0.368,0.398,3,0
A. Nembhard,IND,24,68,1697,0.498,14.1,0.672,0.19,0.207,0.197,0.079,0.328,0.567,0.737,0.472,0.534,0.488,0.357,0.412,0.918,0.002,1,0.31,0.528,0,0
B. Mathurin,IND,21,59,1538,0.446,12.4,0.677,0.275,0.253,0.089,0.06,0.323,0.481,0.582,0.393,0.458,0.425,0.374,0.583,0.75,0.03,17,0.107,0.435,0,0
B. Hield,IND,31,52,1336,0.443,19.4,0.309,0.164,0.097,0.017,0.031,0.691,0.575,0.635,0.54,0.333,0.5,0.384,0.717,0.912,0.012,5,0.162,0.379,0,0
P. Siakam,IND,29,41,1303,0.549,9.1,0.844,0.324,0.316,0.133,0.071,0.156,0.58,0.714,0.527,0.419,0.5,0.386,0.486,0.974,0.029,18,0.327,0.455,0,0
T. McConnell,IND,31,71,1291,0.556,8.5,0.926,0.241,0.403,0.256,0.025,0.074,0.568,0.741,0.527,0.493,0.333,0.409,0.317,0.778,0,0,0.205,0.667,1,0
B. Brown,IND,27,33,981,0.475,12.9,0.678,0.207,0.264,0.162,0.045,0.322,0.545,0.692,0.458,0.529,0.429,0.327,0.552,0.909,0.019,6,0.436,0.386,1,0
P. George,LAC,33,74,2502,0.471,17.7,0.524,0.128,0.125,0.122,0.15,0.476,0.523,0.703,0.448,0.523,0.432,0.413,0.448,0.733,0.032,29,0.138,0.457,1,0
J. Harden,LAC,34,72,2470,0.428,18.5,0.406,0.144,0.137,0.099,0.027,0.594,0.497,0.703,0.345,0.457,0.318,0.381,0.157,0.462,0.002,2,0.076,0.378,0,0
K. Leonard,LAC,32,68,2330,0.525,13.9,0.711,0.168,0.2,0.246,0.097,0.289,0.569,0.79,0.539,0.5,0.425,0.417,0.451,0.657,0.072,76,0.193,0.446,0,0
N. Powell,LAC,30,76,1990,0.486,16.4,0.5,0.143,0.214,0.091,0.052,0.5,0.536,0.736,0.482,0.429,0.4,0.435,0.689,0.916,0.023,15,0.32,0.545,2,0
Terance Mann,LAC,27,75,1873,0.515,13.1,0.586,0.292,0.193,0.085,0.016,0.414,0.633,0.833,0.463,0.405,0.25,0.348,0.639,0.944,0.105,45,0.515,0.381,1,0
I. Zubac,LAC,26,68,1794,0.649,3.7,1,0.493,0.466,0.04,0,0,0.649,0.711,0.599,0.476,,,0.772,,0.245,112,,,0,0
R. Westbrook,LAC,35,68,1529,0.454,9.6,0.768,0.385,0.27,0.074,0.039,0.232,0.509,0.655,0.363,0.367,0.346,0.273,0.378,0.857,0.075,38,0.403,0.29,0,0
A. Coffey,LAC,26,70,1460,0.472,16.6,0.477,0.151,0.159,0.128,0.04,0.523,0.571,0.774,0.5,0.489,0.357,0.38,0.771,0.971,0.023,7,0.5,0.424,3,0
D. Theis,LAC,31,59,1007,0.536,9.5,0.758,0.415,0.228,0.1,0.014,0.242,0.589,0.717,0.439,0.483,0,0.371,0.791,1,0.156,41,0.243,0.353,1,0
A. Davis,LAL,30,76,2700,0.556,8,0.917,0.369,0.309,0.15,0.09,0.083,0.582,0.774,0.487,0.432,0.365,0.271,0.67,0.966,0.162,196,0.15,0.125,0,0
A. Reaves,LAL,25,82,2629,0.486,16.1,0.553,0.179,0.193,0.118,0.064,0.447,0.583,0.81,0.519,0.45,0.383,0.367,0.409,0.675,0.014,13,0.143,0.317,3,0
L. James,LAL,39,71,2504,0.54,11.6,0.714,0.345,0.217,0.078,0.073,0.286,0.592,0.772,0.482,0.313,0.366,0.41,0.435,0.685,0.071,84,0.096,0.457,1,0
D. Russell,LAL,27,76,2484,0.456,17.4,0.495,0.109,0.205,0.115,0.067,0.505,0.497,0.788,0.403,0.46,0.375,0.415,0.383,0.735,0.001,1,0.127,0.406,5,0
T. Prince,LAL,29,78,2108,0.442,17.8,0.378,0.128,0.168,0.059,0.023,0.622,0.519,0.699,0.438,0.441,0.308,0.396,0.866,0.943,0.014,7,0.41,0.363,3,0
R. Hachimura,LAL,25,68,1826,0.537,12.6,0.657,0.296,0.197,0.09,0.072,0.343,0.597,0.81,0.398,0.525,0.367,0.422,0.796,0.99,0.127,77,0.457,0.443,0,0
C. Reddish,LAL,24,48,984,0.389,14,0.53,0.265,0.188,0.03,0.047,0.47,0.435,0.629,0.295,0.143,0.091,0.336,0.722,1,0.056,10,0.573,0.365,0,0
C. Wood,LAL,28,50,872,0.466,13.8,0.568,0.261,0.223,0.042,0.042,0.432,0.587,0.812,0.424,0.455,0.182,0.307,0.761,0.971,0.102,24,0.228,0.346,0,0
J. Jackson,MEM,24,66,2124,0.444,11.9,0.685,0.221,0.39,0.066,0.008,0.315,0.501,0.63,0.439,0.455,0.333,0.32,0.491,0.932,0.034,34,0.15,0.309,8,0
S. Aldama,MEM,23,61,1618,0.435,15.8,0.465,0.211,0.188,0.049,0.016,0.535,0.534,0.692,0.411,0.393,0.333,0.349,0.674,0.962,0.067,34,0.296,0.3,0,0
D. Bane,MEM,25,42,1443,0.464,15.9,0.536,0.216,0.168,0.061,0.091,0.464,0.536,0.72,0.377,0.553,0.38,0.381,0.404,0.613,0.009,7,0.144,0.442,2,0
V. Williams,MEM,23,52,1436,0.446,15.7,0.449,0.245,0.142,0.045,0.016,0.551,0.529,0.667,0.407,0.353,0,0.378,0.511,0.924,0.024,9,0.335,0.343,0,0
G. Jackson,MEM,19,48,1233,0.428,15.7,0.492,0.263,0.149,0.039,0.041,0.508,0.502,0.676,0.333,0.227,0.261,0.357,0.576,0.863,0.076,38,0.224,0.484,1,0
J. Konchar,MEM,27,55,1173,0.423,15.1,0.423,0.322,0.091,0.01,0,0.577,0.568,0.657,0.316,0,,0.317,0.68,1,0.014,3,0.492,0.271,0,0
D. Roddy,MEM,22,48,1114,0.402,12.8,0.596,0.288,0.249,0.047,0.013,0.404,0.47,0.622,0.354,0.278,0,0.301,0.593,0.979,0.044,12,0.301,0.383,1,0
Z. Williams,MEM,22,51,1038,0.397,15.9,0.5,0.22,0.127,0.085,0.069,0.5,0.487,0.747,0.25,0.281,0.346,0.307,0.641,0.897,0.095,32,0.37,0.357,2,0
L. Kennard,MEM,27,39,999,0.448,21.8,0.244,0.06,0.054,0.079,0.051,0.756,0.442,0.684,0.235,0.44,0.375,0.45,0.765,0.944,0,0,0.118,0.393,0,0
J. LaRavia,MEM,22,35,806,0.389,15.7,0.485,0.218,0.218,0.023,0.026,0.515,0.442,0.591,0.303,0.571,0.25,0.34,0.569,0.887,0.026,8,0.167,0.462,1,0
B. Biyombo,MEM,31,30,718,0.563,3.7,1,0.487,0.504,0.008,0,0,0.563,0.724,0.417,0,,,0.776,,0.21,24,,,0,0
B. Adebayo,MIA,26,71,2416,0.521,8.5,0.959,0.245,0.367,0.278,0.069,0.041,0.528,0.727,0.515,0.406,0.386,0.357,0.573,1,0.148,134,0.167,0.429,0,0
J. Jaquez,MIA,22,75,2113,0.489,10.9,0.71,0.286,0.337,0.069,0.019,0.29,0.558,0.668,0.506,0.438,0.231,0.322,0.533,0.969,0.05,29,0.51,0.32,4,0
J. Butler,MIA,34,60,2042,0.499,9.7,0.817,0.267,0.356,0.139,0.055,0.183,0.519,0.679,0.465,0.391,0.409,0.414,0.452,0.8,0.057,41,0.483,0.443,0,0
