Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Opponent,82,19705,3522,7413,0.475,1075,2921,0.368,2447,4492,0.545,1364,1772,0.77,896,2800,3696,2258,603,331,1127,1667,9483
Opponent/G,,240.3,43,90.4,0.475,13.1,35.6,0.368,29.8,54.8,0.545,16.6,21.6,0.77,10.9,34.1,45.1,27.5,7.4,4,13.7,20.3,115.6
Lg Rank,,26,20,21,20,20,18,18,21,21,17,12,15,4,21,25,25,22,16,2,15,2,20
Year/Year,,-1.10%,2.80%,4.90%,-0.01,17.70%,12.50%,0.016,-2.60%,0.50%,-0.017,-14.60%,-13.40%,-0.011,8.00%,-1.30%,0.80%,10.50%,15.50%,6.10%,4.80%,-6.80%,1.30%
DEN,82,19705,3610,7279,0.496,958,2560,0.374,2652,4719,0.562,1240,1628,0.762,881,2763,3644,2415,585,457,1036,1489,9418
Team/G,,240.3,44,88.8,0.496,11.7,31.2,0.374,32.3,57.5,0.562,15.1,19.9,0.762,10.7,33.7,44.4,29.5,7.1,5.6,12.6,18.2,114.9
Lg Rank,,26,3,17,4,25,30,10,2,1,7,29,29,25,13,9,7,3,21,10,5,9,14
Year/Year,,-0.30%,1.00%,2.70%,-0.008,-1.10%,0.00%,-0.004,1.80%,4.20%,-0.013,-10.00%,-11.20%,0.01,6.40%,2.40%,3.30%,2.00%,-5.30%,24.20%,-13.10%,-2.40%,-0.80%
Opponent,82,19705,3332,7210,0.462,919,2587,0.355,2413,4623,0.522,1404,1819,0.772,894,2573,3467,2108,578,394,1014,1467,8987
Opponent/G,,240.3,40.6,87.9,0.462,11.2,31.5,0.355,29.4,56.4,0.522,17.1,22.2,0.772,10.9,31.4,42.3,25.7,7,4.8,12.4,17.9,109.6
Lg Rank,,26,9,13,4,2,2,8,18,26,5,18,20,6,20,7,7,9,9,12,27,26,6
Year/Year,,-0.30%,-2.70%,0.60%,-0.016,-1.50%,-4.60%,0.011,-3.10%,3.80%,-0.037,-2.70%,-2.30%,-0.004,7.50%,2.30%,3.60%,0.10%,-10.50%,14.50%,-8.20%,-8.40%,-2.50%
DET,82,19755,3353,7236,0.463,906,2602,0.348,2447,4634,0.528,1398,1780,0.785,861,2692,3553,2088,531,384,1248,1688,9010
Team/G,,240.9,40.9,88.2,0.463,11,31.7,0.348,29.8,56.5,0.528,17,21.7,0.785,10.5,32.8,43.3,25.5,6.5,4.7,15.2,20.6,109.9
Lg Rank,,21,24,20,24,29,27,26,10,5,24,14,15,12,15,18,16,22,30,20,28,28,27
Year/Year,,-0.30%,3.40%,1.30%,0.009,-3.00%,-2.10%,-0.003,5.90%,3.40%,0.013,-13.90%,-15.50%,0.015,-6.00%,5.00%,2.10%,10.80%,-7.50%,24.70%,0.90%,-6.90%,-0.40%
Opponent,82,19755,3578,7301,0.49,991,2682,0.37,2587,4619,0.56,1610,2013,0.8,791,2745,3536,2216,727,490,1019,1457,9757
Opponent/G,,240.9,43.6,89,0.49,12.1,32.7,0.37,31.5,56.3,0.56,19.6,24.5,0.8,9.6,33.5,43.1,27,8.9,6,12.4,17.8,119
Lg Rank,,21,23,17,24,7,5,19,27,25,25,29,28,28,4,19,13,20,28,25,26,28,26
Year/Year,,-0.30%,1.30%,1.10%,0.001,0.70%,-1.80%,0.009,1.50%,2.90%,-0.008,-3.50%,-6.30%,0.023,-12.20%,-0.80%,-3.60%,4.90%,15.20%,8.20%,-8.00%,-15.20%,0.40%
GSW,82,19830,3582,7515,0.477,1211,3191,0.38,2371,4324,0.548,1282,1644,0.78,996,2834,3830,2402,572,377,1174,1598,9657
Team/G,,241.8,43.7,91.6,0.477,14.8,38.9,0.38,28.9,52.7,0.548,15.6,20,0.78,12.1,34.6,46.7,29.3,7,4.6,14.3,19.5,117.8
Lg Rank,,7,5,3,13,2,4,7,20,21,13,24,27,17,5,4,1,4,23,23,23,22,8
