Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
PHI,47,35,49,33,3.05,-0.54,2.51,116.9,113.8,97.5,0.264,0.373,0.532,10.7,24.8,0.218,0.537,13.1,74.3,0.215,Wells Fargo Center,"821,714"
Lg Rank,12,16,8,8,9,27,11,14,11,18,6,23,24,1,13,3,8,4,25,26,,3
PHO,49,33,49,33,3.06,0.02,3.08,117.6,114.6,98.3,0.271,0.378,0.565,13.4,25,0.219,0.536,11.3,75.6,0.178,Footprint Center,"699,911"
Lg Rank,8,21,9,9,8,14,8,9,13,15,3,21,6,27,11,1,7,25,17,7,,24
POR,21,61,20,62,-9.02,0.74,-8.29,108.3,117.5,97.2,0.228,0.37,0.503,13.4,27.5,0.181,0.558,12.8,74,0.216,Moda Center,"751,395"
Lg Rank,27,3,29,29,27,1,27,29,23,21,23,24,30,26,3,20,24,7,27,27,,13
SAC,46,36,45,37,1.74,0.55,2.29,116.9,115.2,98.8,0.229,0.432,0.556,11.6,24.5,0.171,0.555,12.5,78.4,0.213,Golden 1 Center,"735,015"
Lg Rank,16,13,17,17,17,4,14,13,14,14,22,3,14,10,14,26,21,10,1,25,,18
SAS,22,60,26,56,-6.49,0.69,-5.8,110,116.4,101.1,0.22,0.401,0.532,13.2,22.9,0.172,0.555,11.7,76.4,0.174,Frost Bank Center,"742,522"
Lg Rank,26,5,25,25,25,2,24,26,22,3,28,12,23,24,23,25,20,21,9,4,,15
TOR,25,57,26,56,-6.44,-0.01,-6.45,112.3,118.8,99.4,0.241,0.369,0.535,12.4,24.2,0.182,0.566,12.2,73.9,0.172,Scotiabank Arena,"800,129"
Lg Rank,25,6,24,24,24,16,25,24,25,11,16,26,21,18,17,18,27,16,28,3,,7
UTA,31,51,29,53,-4.89,0.68,-4.22,115.5,120.4,99.5,0.251,0.406,0.539,13.6,28.1,0.209,0.567,10.9,75.2,0.182,Delta Center,"746,446"
Lg Rank,23,8,23,23,23,3,23,17,30,10,11,10,18,30,2,9,28,28,21,8,,14
WAS,15,67,20,62,-9.29,0,-9.29,110.5,119.6,102.7,0.221,0.389,0.538,12.2,20,0.169,0.562,12,72.5,0.201,Capital One Arena,"692,851"
Lg Rank,29,2,27,27,29,15,29,25,28,1,27,16,19,17,29,29,26,19,30,22,,26
